Puntaje: 678.0, Resultado: lose
Puntaje: 442.0, Resultado: lose
Puntaje: 413.0, Resultado: lose
Puntaje: 1769.0, Resultado: win
Puntaje: 1542.0, Resultado: win
Puntaje: 1351.0, Resultado: win
Puntaje: 1779.0, Resultado: win
Puntaje: 720.0, Resultado: lose
Puntaje: 1745.0, Resultado: win
Puntaje: 1794.0, Resultado: win
Puntaje: 1587.0, Resultado: win
Puntaje: 1433.0, Resultado: win
Puntaje: 681.0, Resultado: lose
Puntaje: 1530.0, Resultado: win
Puntaje: 1687.0, Resultado: win
Puntaje: 1547.0, Resultado: win
Puntaje: 642.0, Resultado: lose
Puntaje: 1983.0, Resultado: win
Puntaje: 1375.0, Resultado: win
Puntaje: 1455.0, Resultado: win
Puntaje: 1797.0, Resultado: win
